StartTime---795.0433,,,,,
,,,,,
bg,,,,,
CPU max,8.33,,,,
CPU avr,0.25,,,,
MEM max,87192,,,,
MEM avr,85799,,,,
Net In,0.02,,,,
Net Out,0.02,,,,
CPU Power,0,,,,
GPS Power,0,,,,
Total Power,0,,,,
,,,,,
fg,,,,,
CPU max,400,,,,
CPU avr,1.45,,,,
MEM max,117012,,,,
MEM avr,108731,,,,
Net In,0.28,,,,
Net Out,1.36,,,,
CPU Power,0,,,,
GPS Power,0,,,,
Total Power,0,,,,
,,,,,
op,,,,,
CPU max,400,,,,
CPU avr,7.16,,,,
MEM max,190548,,,,
MEM avr,166104,,,,
Net In,6382.33,,,,
Net Out,1042.43,,,,
CPU Power,0,,,,
GPS Power,0,,,,
Total Power,0,,,,
,,,,,
SearchType---Time---NetIn---NetOut,,,,,
SingleSearch---,1124.4,1900.4,1900.4,,
MultiSearch---,1198.6,3017.1,3017.1,,
BusLine---,1910.8,6157.7,7259.2,,
CarLine---,1545.6,5440.2,6553.2,,
WalkLine---,1715.3,6047.8,7154.1,,
GeneralSearch---,1644,4573.5,4564.2,,
NearbySearch---,1540.1,6079.5,7332.5,,
ReGeoSearch---,2129.2,2478.2,545,,
Sug---,1497.2,780.1,643,,
